,geo_code,geo_label,nearest_main_bua,nearest_sub_bua
26665,E01000654,Bromley 039A,116.0,55.0
26666,E01000655,Bromley 039B,,58.0
26667,E01000652,Bromley 022B,83.0,33.0
26668,E01000653,Bromley 016D,91.0,27.0
26669,E01000650,Bromley 022A,81.0,30.0
26670,E01000651,Bromley 020A,79.0,29.0
26671,E01000658,Bromley 042A,112.0,52.0
26672,E01000659,Bromley 039E,114.0,53.0
26673,E01002606,Hounslow 026C,88.0,36.0
26674,E01002687,Hounslow 029A,71.0,25.0
26675,E01002607,Hounslow 026D,79.0,35.0
26676,E01002686,Hounslow 006E,78.0,24.0
26677,E01002604,Hounslow 026A,89.0,39.0
26678,E01002605,Hounslow 026B,82.0,38.0
26679,E01002684,Hounslow 006D,69.0,27.0
26680,E01002602,Hounslow 027C,87.0,48.0
26681,E01002683,Hounslow 014E,79.0,19.0
26682,E01002603,Hounslow 025E,82.0,40.0
26683,E01002682,Hounslow 014D,76.0,18.0
26684,E01004606,Wandsworth 006C,71.0,25.0
26685,E01004687,Westminster 019A,60.0,16.0
26686,E01002600,Hounslow 025D,83.0,44.0
26687,E01002681,Hounslow 014C,81.0,21.0
26688,E01004607,Wandsworth 006D,68.0,24.0
26689,E01004686,Westminster 015E,45.0,25.0
26690,E01002601,Hounslow 027B,86.0,47.0
26691,E01002680,Hounslow 009D,78.0,21.0
26692,E01004604,Wandsworth 006A,72.0,28.0
26693,E01004605,Wandsworth 006B,73.0,28.0
26694,E01004684,Westminster 015C,43.0,24.0
26695,E01004602,Wandsworth 010C,65.0,18.0
26696,E01004683,Westminster 015B,38.0,21.0
26697,E01004682,Westminster 016B,36.0,17.0
26698,E01004600,Wandsworth 018C,64.0,10.0
26699,E01004681,Westminster 016A,38.0,21.0
26700,E01004601,Wandsworth 018D,67.0,17.0
26701,E01004680,Westminster 015A,49.0,24.0
26702,E01002608,Hounslow 028A,87.0,34.0
26703,E01002689,Hounslow 007E,72.0,25.0
26704,E01002609,Hounslow 028B,89.0,37.0
26705,E01004608,Wandsworth 006E,68.0,21.0
26706,E01004689,Westminster 019C,57.0,20.0
26707,E01004609,Wandsworth 010E,62.0,19.0
26708,E01004688,Westminster 019B,60.0,22.0
26709,E01003176,Lambeth 016E,68.0,0.0
26710,E01003177,Lambeth 020D,71.0,5.0
26711,E01003174,Lambeth 024C,83.0,17.0
26712,E01003175,Lambeth 024D,85.0,19.0
26713,E01003172,Lambeth 024B,78.0,11.0
26714,E01003173,Lambeth 020C,80.0,14.0
26715,E01003170,Lambeth 025E,86.0,22.0
26716,E01003171,Lambeth 020B,76.0,12.0
26717,E01003178,Lambeth 020E,74.0,8.0
26718,E01003179,Lambeth 024E,75.0,9.0
26719,E01001116,Croydon 013F,67.0,22.0
26720,E01001197,Ealing 021B,65.0,24.0
26721,E01001117,Croydon 015C,68.0,22.0
26722,E01001196,Ealing 015A,61.0,26.0
26723,E01001114,Croydon 013E,68.0,24.0
26724,E01001195,Ealing 021A,63.0,23.0
26725,E01001115,Croydon 015B,69.0,23.0
26726,E01001194,Croydon 045D,71.0,30.0
26727,E01001112,Croydon 013C,66.0,28.0
26728,E01001193,Croydon 014E,68.0,31.0
26729,E01001113,Croydon 013D,66.0,26.0
26730,E01001192,Croydon 008E,72.0,33.0
26731,E01001110,Croydon 020D,63.0,17.0
26732,E01001191,Croydon 008D,69.0,30.0
26733,E01001111,Croydon 010D,71.0,29.0
26734,E01001190,Croydon 045C,71.0,32.0
26735,E01001118,Croydon 020E,65.0,19.0
26736,E01001199,Ealing 021D,64.0,25.0
26737,E01001119,Croydon 034G,79.0,38.0
26738,E01001076,Croydon 036A,86.0,44.0
26739,E01001077,Croydon 032C,82.0,40.0
26740,E01001074,Croydon 041E,73.0,34.0
26741,E01001075,Croydon 040C,74.0,38.0
26742,E01001072,Croydon 042C,93.0,56.0
26743,E01001073,Croydon 037A,69.0,34.0
26744,E01001070,Croydon 040B,86.0,48.0
26745,E01001071,Croydon 042B,83.0,46.0
26746,E01001078,Croydon 032D,80.0,38.0
26747,E01001079,Croydon 036B,88.0,46.0
26748,E01003026,Lambeth 019A,73.0,26.0
26749,E01003027,Lambeth 019B,76.0,21.0
26750,E01003024,Lambeth 021D,75.0,11.0
26751,E01003025,Lambeth 021E,79.0,15.0
26752,E01003022,Lambeth 021B,79.0,17.0
26753,E01003023,Lambeth 021C,76.0,12.0
26754,E01003020,Lambeth 016A,68.0,6.0
26755,E01003021,Lambeth 021A,76.0,11.0
26756,E01003028,Lambeth 019C,78.0,26.0
26757,E01003029,Lambeth 017A,74.0,18.0
26758,E01001326,Ealing 008C,53.0,37.0
26759,E01001327,Ealing 009B,47.0,41.0
26760,E01001324,Ealing 008B,51.0,38.0
26761,E01001325,Ealing 009A,51.0,49.0
26762,E01001322,Ealing 004C,48.0,30.0
26763,E01001323,Ealing 004D,48.0,30.0
26764,E01001320,Ealing 003E,56.0,40.0
26765,E01001321,Ealing 003F,55.0,37.0
26766,E01001328,Ealing 009C,47.0,35.0
26767,E01001329,Ealing 009D,50.0,42.0
26768,E01003316,Lewisham 024E,73.0,18.0
26769,E01003397,Merton 007D,77.0,37.0
26770,E01003317,Lewisham 020A,74.0,9.0
26771,E01003396,Merton 007C,72.0,33.0
26772,E01003314,Lewisham 024C,76.0,17.0
26773,E01003395,Merton 007B,78.0,40.0
26774,E01003394,Merton 007A,76.0,39.0
26775,E01003312,Lewisham 027D,86.0,23.0
26776,E01003393,Merton 008C,73.0,33.0
26777,E01003313,Lewisham 027E,84.0,26.0
26778,E01003392,Merton 013D,76.0,35.0
26779,E01003310,Lewisham 027B,77.0,22.0
26780,E01003391,Merton 014B,78.0,41.0
26781,E01003311,Lewisham 027C,81.0,19.0
26782,E01003390,Merton 018D,76.0,32.0
26783,E01003318,Lewisham 020B,79.0,0.0
26784,E01003399,Merton 011D,62.0,21.0
26785,E01003319,Lewisham 018A,83.0,9.0
26786,E01003398,Merton 007E,80.0,39.0
26787,E01003276,Lewisham 014D,78.0,20.0
26788,E01003274,Lewisham 014B,76.0,18.0
26789,E01003275,Lewisham 014C,78.0,19.0
26790,E01003272,Lewisham 014A,75.0,25.0
26791,E01003273,Lewisham 011A,78.0,25.0
26792,E01003270,Lewisham 023D,87.0,30.0
26793,E01003271,Lewisham 023E,89.0,36.0
26794,E01003278,Lewisham 011C,74.0,27.0
26795,E01003279,Lewisham 011D,78.0,22.0
26796,E01001216,Ealing 023D,49.0,29.0
26797,E01001297,Ealing 017D,54.0,32.0
26798,E01001217,Ealing 014A,63.0,41.0
26799,E01001296,Ealing 017C,57.0,36.0
26800,E01001214,Ealing 023B,51.0,32.0
26801,E01001295,Ealing 017B,59.0,37.0
26802,E01001215,Ealing 023C,46.0,28.0
26803,E01001294,Ealing 017A,58.0,36.0
26804,E01001212,Ealing 018F,59.0,19.0
26805,E01001293,Ealing 014E,60.0,39.0
26806,E01001213,Ealing 023A,49.0,29.0
26807,E01001292,Ealing 014D,60.0,36.0
26808,E01001210,Ealing 016A,62.0,25.0
26809,E01001291,Ealing 014C,57.0,40.0
26810,E01001211,Ealing 013B,60.0,20.0
26811,E01002139,Harrow 006A,60.0,29.0
26812,E01004138,Sutton 013C,89.0,13.0
26813,E01004139,Sutton 013D,85.0,15.0
26814,E01000036,Barking and Dagenham 010B,70.0,34.0
26815,E01000037,Barking and Dagenham 003B,67.0,18.0
26816,E01000034,Barking and Dagenham 003A,74.0,27.0
26817,E01000035,Barking and Dagenham 010A,72.0,32.0
26818,E01000032,Barking and Dagenham 002B,70.0,24.0
26819,E01000033,Barking and Dagenham 006A,76.0,30.0
26820,E01000030,Barking and Dagenham 001D,76.0,29.0
26821,E01000031,Barking and Dagenham 002A,70.0,22.0
26822,E01000038,Barking and Dagenham 003C,68.0,19.0
26823,E01000039,Barking and Dagenham 003D,75.0,28.0
26824,E01002346,Havering 030C,82.0,38.0
26825,E01002347,Havering 030D,89.0,44.0
26826,E01002344,Havering 029B,91.0,47.0
26827,E01002345,Havering 030B,81.0,37.0
26828,E01002342,Havering 030A,86.0,41.0
26829,E01002343,Havering 029A,93.0,49.0
26830,E01004346,Waltham Forest 011B,68.0,23.0
26831,E01002340,Havering 009F,66.0,19.0
26832,E01004347,Waltham Forest 011C,65.0,17.0
26833,E01002341,Havering 008E,79.0,33.0
26834,E01004344,Waltham Forest 008B,66.0,20.0
26835,E01004345,Waltham Forest 010A,73.0,25.0
26836,E01004342,Waltham Forest 011A,69.0,23.0
26837,E01004343,Waltham Forest 008A,75.0,26.0
26838,E01004340,Waltham Forest 027E,64.0,30.0
26839,E01004341,Waltham Forest 027F,62.0,30.0
26840,E01002348,Havering 029C,92.0,47.0
26841,E01002349,Havering 029D,95.0,54.0
26842,E01004348,Waltham Forest 010B,70.0,23.0
26843,E01004349,Waltham Forest 001A,93.0,40.0
26844,E01000246,Barnet 002B,50.0,37.0
26845,E01000247,Barnet 002C,54.0,38.0
26846,E01000244,Barnet 032D,38.0,38.0
26847,E01000245,Barnet 032E,38.0,38.0
26848,E01000242,Barnet 032B,43.0,43.0
26849,E01000243,Barnet 032C,38.0,38.0
26850,E01000240,Barnet 031B,51.0,51.0
26851,E01000241,Barnet 031C,45.0,45.0
26852,E01000248,Barnet 001A,51.0,42.0
26853,E01000249,Barnet 001B,55.0,46.0
26854,E01002236,Harrow 011E,54.0,24.0
26855,E01002237,Harrow 024A,39.0,7.0
26856,E01002234,Harrow 011C,59.0,28.0
26857,E01002235,Harrow 011D,56.0,26.0
26858,E01002232,Harrow 011A,58.0,28.0
26859,E01002233,Harrow 011B,54.0,23.0
26860,E01004236,Tower Hamlets 008B,66.0,29.0
26861,E01002230,Harrow 003D,67.0,38.0
26862,E01004237,Tower Hamlets 008C,65.0,27.0
26863,E01002231,Harrow 013E,62.0,32.0
26864,E01004234,Tower Hamlets 003E,68.0,20.0
26865,E01004235,Tower Hamlets 008A,64.0,28.0
26866,E01004232,Tower Hamlets 003C,58.0,19.0
