,geo_code,geo_label,supermarket_15,supermarket_30,supermarket_45,supermarket_60,supermarket_75,supermarket_90,supermarket_105,supermarket_120,supermarket_pct_15,supermarket_pct_30,supermarket_pct_45,supermarket_pct_60,supermarket_pct_75,supermarket_pct_90,supermarket_pct_105,supermarket_pct_120,nearest_supermarket
26345,E01002000,Haringey 031A,4,31,100,205,405,630,877,1032,0.0617,0.4785,1.5437,3.1646,6.2519,9.7252,13.5381,15.9308,14.0
26346,E01002081,Haringey 012D,6,46,134,278,539,777,982,1210,0.0926,0.7101,2.0685,4.2914,8.3205,11.9944,15.159,18.6786,8.0
26347,E01004007,Southwark 018E,4,22,81,247,458,653,839,1049,0.0617,0.3396,1.2504,3.8129,7.0701,10.0803,12.9515,16.1933,13.0
26348,E01004086,Sutton 019B,2,9,30,103,238,403,566,716,0.0309,0.1389,0.4631,1.59,3.674,6.2211,8.7373,11.0528,8.0
26349,E01002001,Haringey 031B,2,44,119,251,468,692,928,1106,0.0309,0.6792,1.837,3.8747,7.2245,10.6823,14.3254,17.0732,8.0
26350,E01002080,Haringey 015D,4,42,127,266,520,763,959,1202,0.0617,0.6483,1.9605,4.1062,8.0272,11.7783,14.804,18.5551,6.0
26351,E01004004,Southwark 023C,7,49,158,357,561,738,898,1079,0.1081,0.7564,2.439,5.511,8.6601,11.3924,13.8623,16.6564,8.0
26352,E01004085,Sutton 024B,1,5,20,48,164,311,502,669,0.0154,0.0772,0.3087,0.741,2.5316,4.8009,7.7493,10.3273,14.0
26353,E01004005,Southwark 023D,6,40,138,340,542,721,876,1064,0.0926,0.6175,2.1303,5.2485,8.3668,11.13,13.5227,16.4248,7.0
26354,E01004084,Sutton 024A,0,5,21,71,174,301,479,645,0.0,0.0772,0.3242,1.096,2.686,4.6465,7.3943,9.9568,19.0
26355,E01004002,Southwark 029A,8,42,155,338,548,702,832,992,0.1235,0.6483,2.3927,5.2177,8.4594,10.8367,12.8435,15.3134,9.0
26356,E01000934,Camden 020D,3,30,127,321,559,821,1069,1294,0.0463,0.4631,1.9605,4.9552,8.6292,12.6737,16.502,19.9753,10.0
26357,E01000935,Camden 020E,2,26,105,296,522,790,1022,1257,0.0309,0.4014,1.6209,4.5693,8.058,12.1951,15.7765,19.4041,11.0
26358,E01000932,Camden 013D,6,35,141,325,559,818,1051,1295,0.0926,0.5403,2.1766,5.017,8.6292,12.6274,16.2241,19.9907,3.0
26359,E01000933,Camden 020C,5,25,122,304,521,792,1033,1280,0.0772,0.3859,1.8833,4.6928,8.0426,12.226,15.9463,19.7592,7.0
26360,E01000930,Camden 020B,4,28,125,302,533,787,1035,1273,0.0617,0.4322,1.9296,4.6619,8.2278,12.1488,15.9772,19.6511,0.0
26361,E01000931,Camden 013C,4,28,122,296,520,782,1006,1259,0.0617,0.4322,1.8833,4.5693,8.0272,12.0716,15.5295,19.435,0.0
26362,E01000938,Camden 024B,7,67,205,441,717,961,1238,1475,0.1081,1.0343,3.1646,6.8077,11.0682,14.8348,19.1108,22.7694,8.0
26363,E01000939,Camden 024C,9,86,224,493,761,1011,1278,1532,0.1389,1.3276,3.4579,7.6104,11.7475,15.6067,19.7283,23.6493,8.0
26364,E01001426,Enfield 030B,3,13,63,140,260,453,652,832,0.0463,0.2007,0.9725,2.1612,4.0136,6.9929,10.0648,12.8435,9.0
26365,E01001427,Enfield 030C,2,12,65,159,297,486,686,860,0.0309,0.1852,1.0034,2.4545,4.5847,7.5023,10.5897,13.2757,8.0
26366,E01001424,Enfield 030A,3,23,92,170,317,519,729,874,0.0463,0.355,1.4202,2.6243,4.8935,8.0117,11.2535,13.4918,8.0
26367,E01001425,Enfield 027B,4,18,79,160,295,490,690,855,0.0617,0.2779,1.2195,2.4699,4.5539,7.5641,10.6514,13.1985,9.0
26368,E01001422,Enfield 011D,0,1,10,76,161,316,502,694,0.0,0.0154,0.1544,1.1732,2.4853,4.878,7.7493,10.7132,30.0
26369,E01001423,Enfield 027A,2,18,72,152,280,478,669,844,0.0309,0.2779,1.1115,2.3464,4.3223,7.3788,10.3273,13.0287,12.0
26370,E01001420,Enfield 020B,0,5,26,90,186,334,530,742,0.0,0.0772,0.4014,1.3893,2.8713,5.1559,8.1815,11.4542,18.0
26371,E01001421,Enfield 020C,0,5,28,94,188,337,539,754,0.0,0.0772,0.4322,1.4511,2.9021,5.2022,8.3205,11.6394,17.0
26372,E01001428,Enfield 027C,2,12,64,139,257,447,646,829,0.0309,0.1852,0.988,2.1457,3.9673,6.9003,9.9722,12.7972,15.0
